Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1618,Empire,genre,crime film,439947,91,2919224,[],"[""crime movie""]",http://www.wikidata.org/entity/Q1660328,http://www.wikidata.org/entity/Q959790,Empire (2002 film),Crime film,3987,28275,What genre is Empire?,"[""crime film"", ""crime movie""]","['What category does Empire belong to?', 'What kind of classification does Empire fall under?', 'What type does Empire fall under?', 'What group does Empire fall under?', 'What kind does Empire fall under?', 'What class does Empire fall under?', 'What style can Empire be categorized into?', 'Which division does Empire come under?', 'In what bracket does Empire reside?', 'What domain does  Empire fit within?']",32262,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6228424331460992, 0.45621988983038186, 0.3558959937825396, 0.40805330042729215, 0.2723504892552959, 0.6462278150393931, 0.3697734018040077, 0.7048425765075244, 0.4842401492535798, 0.6501766568251854]","[0.010071349, 0.012825151, 0.039888993, 0.14565967, 0.0696069, 0.009739629, 0.09573972, 0.007298855, 0.0051532513, 0.056054886]"
2707,Covers,genre,alternative metal,1191151,91,716137,[],"[""alt-metal"",""Alternative Metal""]",http://www.wikidata.org/entity/Q3696324,http://www.wikidata.org/entity/Q20378,Covers (Deftones album),Alternative metal,3685,28521,What genre is Covers?,"[""alternative metal"", ""alt-metal"", ""Alternative Metal""]","['What category does Covers belong to?', 'What kind of classification does Covers fall under?', 'What type does Covers fall under?', 'What group does Covers fall under?', 'What kind does Covers fall under?', 'What class does Covers fall under?', 'What style can Covers be categorized into?', 'Which division does Covers come under?', 'In what bracket does Covers reside?', 'What domain does  Covers fit within?']",32206,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2999298824286597, 0.7513096578611629, 0.6741430344898077, 0.29015018636212103, 0.2764503195754227, 0.7189985991259684, 0.5720178599654264, 0.4221404395170618, 0.5224963400185881, 0.4407299996059396]","[0.015974209, 0.022915605, 0.040037315, 0.0041775387, 0.17516617, 0.019541213, 0.067512766, 0.009490252, 0.025948826, 0.030573934]"
2248,Today Is A Beautiful Day,genre,J-pop,33158,91,167395,"[""Perfect Day""]","[""Japanese pop"",""jpop""]",http://www.wikidata.org/entity/Q1058017,http://www.wikidata.org/entity/Q131578,Today Is a Beautiful Day,J-pop,576,31446,What genre is Today Is A Beautiful Day?,"[""J-pop"", ""Japanese pop"", ""jpop""]","['What category does Today Is A Beautiful Day belong to?', 'What kind of classification does Today Is A Beautiful Day fall under?', 'What type does Today Is A Beautiful Day fall under?', 'What group does Today Is A Beautiful Day fall under?', 'What kind does Today Is A Beautiful Day fall under?', 'What class does Today Is A Beautiful Day fall under?', 'What style can Today Is A Beautiful Day be categorized into?', 'Which division does Today Is A Beautiful Day come under?', 'In what bracket does Today Is A Beautiful Day reside?', 'What domain does  Today Is A Beautiful Day fit within?']",32022,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5]","[0.31330342946650624, 0.22345122468120943, 0.6435368831959616, 0.5420542096320029, 0.6666687056266186, 0.3710054057596613, 0.2256896894117854, 0.2627159649800057, 0.5775855094326325, 0.06445746027425454]","[0.06283672, 0.14906962, 0.0025267699, 0.008497511, 0.045125592, 0.07112274, 0.08938825, 0.04457067, 0.0048280163, 0.83761966]"
1921,Mario Talavera,genre,popular music,1325528,91,1201037,"[""Mario Talavera Andrade""]","[""pop music"",""pop""]",http://www.wikidata.org/entity/Q4504842,http://www.wikidata.org/entity/Q373342,Mario Talavera,Popular music,101,31873,What genre is Mario Talavera?,"[""popular music"", ""pop music"", ""pop""]","['What category does Mario Talavera belong to?', 'What kind of classification does Mario Talavera fall under?', 'What type does Mario Talavera fall under?', 'What group does Mario Talavera fall under?', 'What kind does Mario Talavera fall under?', 'What class does Mario Talavera fall under?', 'What style can Mario Talavera be categorized into?', 'Which division does Mario Talavera come under?', 'In what bracket does Mario Talavera reside?', 'What domain does  Mario Talavera fit within?']",31974,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5]","[0.4539953048001285, 0.12325207658734376, 0.6780915102911166, 0.5936806413313237, 0.39955604410859585, 0.44809351448855644, 0.09568270781321163, 0.4113950688553266, 0.24528288233847328, 0.09569729969531349]","[0.020655073, 0.6432814, 0.015514452, 0.0036320793, 0.046559483, 0.050199606, 0.7435651, 0.15129751, 0.008807371, 0.7667478]"
2265,Rumi Shishido,genre,J-pop,40808,91,167395,"[""Shishido Rumi"",""Run Run""]","[""Japanese pop"",""jpop""]",http://www.wikidata.org/entity/Q1070539,http://www.wikidata.org/entity/Q131578,Rumi Shishido,J-pop,490,31446,What genre is Rumi Shishido?,"[""J-pop"", ""Japanese pop"", ""jpop""]","['What category does Rumi Shishido belong to?', 'What kind of classification does Rumi Shishido fall under?', 'What type does Rumi Shishido fall under?', 'What group does Rumi Shishido fall under?', 'What kind does Rumi Shishido fall under?', 'What class does Rumi Shishido fall under?', 'What style can Rumi Shishido be categorized into?', 'Which division does Rumi Shishido come under?', 'In what bracket does Rumi Shishido reside?', 'What domain does  Rumi Shishido fit within?']",31936,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.3333333333333333, 0, 0, 0.33333333333333337, 0, 0.25, 0, 0.33333333333333337, 0.33333333333333337, 0.6666666666666666]","[0.2675580535878635, 0.4749756962832366, 0.5384430913010481, 0.2544177963254429, 0.3103620596835388, 0.3989642746964003, 0.4375461245484432, 0.26121473079882257, 0.3967392277012198, 0.6521235524324449]","[0.005826571, 0.021326859, 0.028549846, 0.07927018, 0.1857061, 0.051962465, 0.0344026, 0.08350507, 0.032124422, 0.0021496427]"
2215,Tweet,genre,neo soul,899901,91,902360,"[""Charlene Keys""]","[""neo-soul""]",http://www.wikidata.org/entity/Q267265,http://www.wikidata.org/entity/Q268253,Tweet (singer),Neo soul,5350,26526,What genre is Tweet?,"[""soul music"", ""soul"", ""Soul"", ""neo soul"", ""neo-soul""]","['What category does Tweet belong to?', 'What kind of classification does Tweet fall under?', 'What type does Tweet fall under?', 'What group does Tweet fall under?', 'What kind does Tweet fall under?', 'What class does Tweet fall under?', 'What style can Tweet be categorized into?', 'Which division does Tweet come under?', 'In what bracket does Tweet reside?', 'What domain does  Tweet fit within?']",31876,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0]","[0.36562433124157817, 0.6441053665903422, 0.41916554018904434, 0.03093934997577603, 0.5146402644018754, 0.2866666029643715, 0.35460464490760557, 0.4470731014938357, 0.720037108821102, 0.49088778812149847]","[0.04048768, 0.031448618, 0.13643935, 0.9259473, 0.08602924, 0.06995296, 0.12623222, 0.01213409, 0.0068891766, 0.037265684]"
2623,Kei Yasuda,genre,J-pop,207870,91,167395,[],"[""Japanese pop"",""jpop""]",http://www.wikidata.org/entity/Q1370953,http://www.wikidata.org/entity/Q131578,Kei Yasuda,J-pop,410,31446,What genre is Kei Yasuda?,"[""J-pop"", ""Japanese pop"", ""jpop""]","['What category does Kei Yasuda belong to?', 'What kind of classification does Kei Yasuda fall under?', 'What type does Kei Yasuda fall under?', 'What group does Kei Yasuda fall under?', 'What kind does Kei Yasuda fall under?', 'What class does Kei Yasuda fall under?', 'What style can Kei Yasuda be categorized into?', 'Which division does Kei Yasuda come under?', 'In what bracket does Kei Yasuda reside?', 'What domain does  Kei Yasuda fit within?']",31856,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.33333333333333337, 0.5, 0.5, 0.4, 0.4, 0.2857142857142857, 0, 0.4, 0]","[0.4805661825183387, 0.2743318501474875, 0.5254764903707533, 0.5935292772936933, 0.37410308500950373, 0.4837488738072261, 0.4380102968572711, 0.0806984946219697, 0.46789064447875883, 0.04061443062539358]","[0.057607647, 0.06427652, 0.049301, 0.020650951, 0.18752317, 0.0329693, 0.010457675, 0.7905303, 0.14889777, 0.9014588]"
2384,&,genre,J-pop,221891,91,167395,[],"[""Japanese pop"",""jpop""]",http://www.wikidata.org/entity/Q1398026,http://www.wikidata.org/entity/Q131578,& (Ayumi Hamasaki EP),J-pop,346,31446,What genre is &?,"[""J-pop"", ""Japanese pop"", ""jpop""]","['What category does & belong to?', 'What kind of classification does & fall under?', 'What type does & fall under?', 'What group does & fall under?', 'What kind does & fall under?', 'What class does & fall under?', 'What style can & be categorized into?', 'Which division does & come under?', 'In what bracket does & reside?', 'What domain does  & fit within?']",31792,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5859726440242745, 0.4002212659466501, 0.10850317621916951, 0.432310743607755, 0.354142208155537, 0.4027508302350208, 0.27829109443023947, 0.5805865768271167, 0.3418456811387513, 0.43368370854658256]","[0.04534791, 0.029231794, 0.11596071, 0.077780426, 0.15386115, 0.01966527, 0.32047567, 0.00048310743, 0.1607872, 0.03739282]"
1394,The Hunger,genre,erotica,223415,91,587157,[],[],http://www.wikidata.org/entity/Q1402306,http://www.wikidata.org/entity/Q181001,The Hunger (TV series),Erotica,3333,28438,What genre is The Hunger?,"[""erotica"", ""anthology series""]","['What category does The Hunger belong to?', 'What kind of classification does The Hunger fall under?', 'What type does The Hunger fall under?', 'What group does The Hunger fall under?', 'What kind does The Hunger fall under?', 'What class does The Hunger fall under?', 'What style can The Hunger be categorized into?', 'Which division does The Hunger come under?', 'In what bracket does The Hunger reside?', 'What domain does  The Hunger fit within?']",31771,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.47190245970689704, 0.4349642275973213, 0.38993038450349565, 0.41503183174653463, 0.6810688293608543, 0.4311774193681507, 0.5359273474990615, 0.37167257557884675, 0.34693136387801027, 0.4425273324148287]","[0.021841569, 0.06227602, 0.17508422, 0.032630116, 0.017545057, 0.02304341, 0.00855249, 0.093512796, 0.080327585, 0.041915163]"
1519,BT,genre,electronica,1175096,91,2828033,"[""Brian Wayne Transeau"",""Brian Transeau""]","[""electornic listening music""]",http://www.wikidata.org/entity/Q361431,http://www.wikidata.org/entity/Q817138,BT (musician),Electronica,8041,23726,What genre is BT?,"[""electronica"", ""electornic listening music""]","['What category does BT belong to?', 'What kind of classification does BT fall under?', 'What type does BT fall under?', 'What group does BT fall under?', 'What kind does BT fall under?', 'What class does BT fall under?', 'What style can BT be categorized into?', 'Which division does BT come under?', 'In what bracket does BT reside?', 'What domain does  BT fit within?']",31767,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.3333333333333333, 0.4, 0, 0.4, 0]","[0.0, 0.05952271703191208, 0.09701997647778753, 0.046313188674389195, 0.052614817138899254, 0.1677021538644626, 0.12982219187758778, 0.17236120093804408, 0.03714135788502223, 0.39911499621255353]","[1.0, 0.85129434, 0.7391709, 0.8866822, 0.8700092, 0.58258337, 0.61508787, 0.59738535, 0.9103329, 0.028989293]"
