Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1790,Tales,genre,role-playing video game,114299,91,2548127,"[""Tales series"",""Tales of series"",""Tales of""]","[""RPG"",""RPVG"",""role playing video game"",""role-playing game"",""role playing video games"",""CRPG"",""computer RPG"",""computer role-playing video game"",""RP video game""]",http://www.wikidata.org/entity/Q1193867,http://www.wikidata.org/entity/Q744038,Tales (video game series),Role-playing video game,59362,63112,What genre is Tales?,"[""role-playing video game"", ""RPG"", ""RPVG"", ""role playing video game"", ""role-playing game"", ""role playing video games"", ""CRPG"", ""computer RPG"", ""computer role-playing video game"", ""RP video game""]","['What category does Tales belong to?', 'What kind of classification does Tales fall under?', 'What type does Tales fall under?', 'What group does Tales fall under?', 'What kind does Tales fall under?', 'What class does Tales fall under?', 'What style can Tales be categorized into?', 'Which division does Tales come under?', 'In what bracket does Tales reside?', 'What domain does  Tales fit within?']",122474,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3342337222268194, 0.2886964390272455, 0.5501777647112952, 0.8281118535131862, 0.30598786833238045, 0.5126721702733807, 0.28114790275296775, 0.3230042544232776, 0.4205078691327844, 0.5234354220984]","[0.12058362, 0.19450855, 0.04053671, 0.004089524, 0.029892974, 0.010431305, 0.21151528, 0.16836149, 0.015695425, 0.045307904]"
1970,X Japan,genre,heavy metal,579522,91,1238567,"[""X"",""XJP"",""X-JP"",""XJ"",""XJapan"",""X JP"",""X - Psychedelic Violence: Crime of Visual Shock"",""X-J"",""X J"",""WE ARE X"",""X-Japan"",""X JAPAN""]","[""heavy metal music"",""Heavy Metal"",""Metal"",""Metal music"",""metal"",""Heavy Metal Music""]",http://www.wikidata.org/entity/Q179767,http://www.wikidata.org/entity/Q38848,X Japan,Heavy metal music,15503,106297,What genre is X Japan?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]","['What category does X Japan belong to?', 'What kind of classification does X Japan fall under?', 'What type does X Japan fall under?', 'What group does X Japan fall under?', 'What kind does X Japan fall under?', 'What class does X Japan fall under?', 'What style can X Japan be categorized into?', 'Which division does X Japan come under?', 'In what bracket does X Japan reside?', 'What domain does  X Japan fit within?']",121800,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.6666666666666666, 0, 0, 0]","[0.38915773352485095, 0.45061442621606945, 0.16040226195762325, 0.12404068415837755, 0.18748082730088708, 0.262199069775622, 0.0, 0.35542433372500987, 0.30319387740127574, 0.48222189901957013]","[0.028678799, 0.1473977, 0.17114344, 0.1511713, 0.11498247, 0.07074796, 1.0, 0.23792304, 0.09708537, 0.028232623]"
1615,Marathon,genre,first-person shooter,2760443,91,623607,[],"[""fps"",""first person shooter video games"",""first-person shooter video game"",""FPS"",""FPS game"",""FPS video game"",""first-person shooter game""]",http://www.wikidata.org/entity/Q795399,http://www.wikidata.org/entity/Q185029,Marathon (video game),First-person shooter,5087,116620,What genre is Marathon?,"[""first-person shooter"", ""fps"", ""first person shooter video games"", ""first-person shooter video game"", ""FPS"", ""FPS game"", ""FPS video game"", ""first-person shooter game""]","['What category does Marathon belong to?', 'What kind of classification does Marathon fall under?', 'What type does Marathon fall under?', 'What group does Marathon fall under?', 'What kind does Marathon fall under?', 'What class does Marathon fall under?', 'What style can Marathon be categorized into?', 'Which division does Marathon come under?', 'In what bracket does Marathon reside?', 'What domain does  Marathon fit within?']",121707,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.6666666666666666, 0, 0, 0, 0, 0, 0]","[0.5339498193460698, 0.4651135865791168, 0.515683274359086, 0.12218689033405435, 0.44858994201748337, 0.024468691570694867, 0.5288583930781297, 0.22092544107661152, 0.558153198463652, 0.3439911506489252]","[0.024220312, 0.038391054, 0.0423835, 0.70760155, 0.06320206, 0.94193965, 0.036593035, 0.07971697, 0.0075557414, 0.09931466]"
2726,The Thing,genre,science fiction film,2882024,91,1406377,"[""The Thing (2011 film)""]","[""sci-fi film"",""science fiction movie"",""sci-fi movie"",""scifi film"",""scifi movie"",""sci fi film"",""sci fi movie"",""scifi-film"",""scifi""]",http://www.wikidata.org/entity/Q909749,http://www.wikidata.org/entity/Q471839,The Thing (2011 film),Science fiction film,79535,41996,What genre is The Thing?,"[""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]","['What category does The Thing belong to?', 'What kind of classification does The Thing fall under?', 'What type does The Thing fall under?', 'What group does The Thing fall under?', 'What kind does The Thing fall under?', 'What class does The Thing fall under?', 'What style can The Thing be categorized into?', 'Which division does The Thing come under?', 'In what bracket does The Thing reside?', 'What domain does  The Thing fit within?']",121531,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",,"[1.0, 0.6666666666666666, 0.6666666666666666, 0.5, 1.0, 0.6666666666666666, 0.6666666666666666, 0.28571428571428575, 0.6666666666666666, 0.6666666666666666]","[0.15297087144490534, 0.03166234508163541, 0.0, 0.4045331310816546, 0.1523929276085628, 0.03470198761258228, 0.0, 0.5488853281987706, 0.04061438422432284, 0.28913410925044847]","[0.6431584, 0.9241419, 1.0, 0.030148769, 0.4851859, 0.9165091, 1.0, 0.13257825, 0.9014589, 0.07057674]"
2445,Synyster Gates,genre,heavy metal,1120846,91,1238567,"[""Syn"",""Brian Elwin Haner Jr.""]","[""heavy metal music"",""Heavy Metal"",""Metal"",""Metal music"",""metal"",""Heavy Metal Music""]",http://www.wikidata.org/entity/Q342526,http://www.wikidata.org/entity/Q38848,Synyster Gates,Heavy metal music,15182,106297,What genre is Synyster Gates?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]","['What category does Synyster Gates belong to?', 'What kind of classification does Synyster Gates fall under?', 'What type does Synyster Gates fall under?', 'What group does Synyster Gates fall under?', 'What kind does Synyster Gates fall under?', 'What class does Synyster Gates fall under?', 'What style can Synyster Gates be categorized into?', 'Which division does Synyster Gates come under?', 'In what bracket does Synyster Gates reside?', 'What domain does  Synyster Gates fit within?']",121479,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.6666666666666666, 0, 0, 0]","[0.2120289431957623, 0.1196625582053644, 0.41215148927462203, 0.5212349652180678, 0.2435446070864242, 0.3759009469482539, 0.0, 0.2342751611094996, 0.36378927363444935, 0.38878393337689504]","[0.0731956, 0.14028746, 0.063471764, 0.09918225, 0.027920444, 0.09644416, 1.0, 0.11818424, 0.05451709, 0.014817992]"
1801,XIII,genre,first-person shooter,90438,91,623607,[],"[""fps"",""first person shooter video games"",""first-person shooter video game"",""FPS"",""FPS game"",""FPS video game"",""first-person shooter game""]",http://www.wikidata.org/entity/Q1154327,http://www.wikidata.org/entity/Q185029,XIII (2003 video game),First-person shooter,4481,116620,What genre is XIII?,"[""first-person shooter"", ""fps"", ""first person shooter video games"", ""first-person shooter video game"", ""FPS"", ""FPS game"", ""FPS video game"", ""first-person shooter game""]","['What category does XIII belong to?', 'What kind of classification does XIII fall under?', 'What type does XIII fall under?', 'What group does XIII fall under?', 'What kind does XIII fall under?', 'What class does XIII fall under?', 'What style can XIII be categorized into?', 'Which division does XIII come under?', 'In what bracket does XIII reside?', 'What domain does  XIII fit within?']",121101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3081001195065506, 0.6431277380394679, 0.10850317621916951, 0.513728737943361, 0.15955746847673305, 0.41974446234845786, 0.4641189092590696, 0.5501808212792185, 0.30305095285216577, 0.1644554182100104]","[0.12229384, 0.019047258, 0.11596071, 0.020444302, 0.3491555, 0.0034766288, 0.011165549, 0.04914128, 0.124908514, 0.17955028]"
2258,Geist,genre,first-person shooter,1021352,91,623607,[],"[""fps"",""first person shooter video games"",""first-person shooter video game"",""FPS"",""FPS game"",""FPS video game"",""first-person shooter game""]",http://www.wikidata.org/entity/Q3100199,http://www.wikidata.org/entity/Q185029,Geist (video game),First-person shooter,2565,116620,What genre is Geist?,"[""first-person shooter"", ""fps"", ""first person shooter video games"", ""first-person shooter video game"", ""FPS"", ""FPS game"", ""FPS video game"", ""first-person shooter game"", ""action-adventure game"", ""a-avg"", ""action adventure video games""]","['What category does Geist belong to?', 'What kind of classification does Geist fall under?', 'What type does Geist fall under?', 'What group does Geist fall under?', 'What kind does Geist fall under?', 'What class does Geist fall under?', 'What style can Geist be categorized into?', 'Which division does Geist come under?', 'In what bracket does Geist reside?', 'What domain does  Geist fit within?']",119185,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.3333333333333333, 0, 0, 0, 0.3333333333333333, 0, 0, 0.3333333333333333, 0]","[0.27075117794889353, 0.11911724410287924, 0.10049536381120919, 0.0, 0.33682376394696695, 0.2919100724286757, 0.39969482302202686, 0.2943184161064655, 0.12029828943009152, 0.15976458019186163]","[0.03463478, 0.659936, 0.10087861, 1.0, 0.104602516, 0.22682936, 0.0015515363, 0.085121796, 0.655254, 0.37029305]"
1876,The Kingdom,genre,action film,1380348,91,645780,"[""Kingdom""]","[""action movie"",""film action"",""movie action"",""action""]",http://www.wikidata.org/entity/Q467582,http://www.wikidata.org/entity/Q188473,The Kingdom (film),Action film,19346,99831,What genre is The Kingdom?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action""]","['What category does The Kingdom belong to?', 'What kind of classification does The Kingdom fall under?', 'What type does The Kingdom fall under?', 'What group does The Kingdom fall under?', 'What kind does The Kingdom fall under?', 'What class does The Kingdom fall under?', 'What style can The Kingdom be categorized into?', 'Which division does The Kingdom come under?', 'In what bracket does The Kingdom reside?', 'What domain does  The Kingdom fit within?']",119177,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0]","[0.20882859351073088, 0.59891082934275, 0.5272975712916887, 0.37561103325315914, 0.4306638883828337, 0.214390228856853, 0.2853786876425227, 0.16858546439088734, 0.3879462928437181, 0.4039877718399045]","[0.06979371, 0.03789659, 0.046312157, 0.012480185, 0.09890806, 0.1872064, 0.3031512, 0.20493034, 0.030721651, 0.053897474]"
2509,Histories,genre,history,2557520,91,1018374,"[""The History"",""The Histories"",""History""]",[],http://www.wikidata.org/entity/Q746583,http://www.wikidata.org/entity/Q309,Histories (Herodotus),History,16315,102375,What genre is Histories?,"[""history""]","['What category does Histories belong to?', 'What kind of classification does Histories fall under?', 'What type does Histories fall under?', 'What group does Histories fall under?', 'What kind does Histories fall under?', 'What class does Histories fall under?', 'What style can Histories be categorized into?', 'Which division does Histories come under?', 'In what bracket does Histories reside?', 'What domain does  Histories fit within?']",118690,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.2857142857142857, 0.2222222222222222, 0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0, 0.2857142857142857, 0.2857142857142857, 0.2222222222222222]","[0.5828248333152208, 0.5084102093954257, 0.2526477608997872, 0.660208787224712, 0.6851574035458735, 0.6290671708096596, 0.4431997403967246, 0.5875520325879036, 0.8200797888357326, 0.23809940048362224]","[0.0070500774, 0.06830189, 0.20226096, 0.010685405, 0.028103644, 0.014847826, 0.19547807, 0.06089986, 0.009190117, 0.25670972]"
1152,Chrome,genre,first-person shooter,2230274,91,623607,[],"[""fps"",""first person shooter video games"",""first-person shooter video game"",""FPS"",""FPS game"",""FPS video game"",""first-person shooter game""]",http://www.wikidata.org/entity/Q672303,http://www.wikidata.org/entity/Q185029,Chrome (video game),First-person shooter,1684,116620,What genre is Chrome?,"[""first-person shooter"", ""fps"", ""first person shooter video games"", ""first-person shooter video game"", ""FPS"", ""FPS game"", ""FPS video game"", ""first-person shooter game""]","['What category does Chrome belong to?', 'What kind of classification does Chrome fall under?', 'What type does Chrome fall under?', 'What group does Chrome fall under?', 'What kind does Chrome fall under?', 'What class does Chrome fall under?', 'What style can Chrome be categorized into?', 'Which division does Chrome come under?', 'In what bracket does Chrome reside?', 'What domain does  Chrome fit within?']",118304,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.568602067183107, 0.5467022549077803, 0.3101128141226494, 0.2986762956909972, 0.25317572706296393, 0.4065543090794806, 0.15336321135404074, 0.16876216927080917, 0.16665438814462064]","[1.0, 0.026645234, 0.09715634, 0.109067075, 0.036968768, 0.14541216, 0.23573427, 0.47685385, 0.14095853, 0.21869138]"
