Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
2572,Faye Adams,genre,rhythm and blues,1010931,91,1350191,[],"[""R&B"",""RnB"",""RNB"",""R and B"",""R & B""]",http://www.wikidata.org/entity/Q3067682,http://www.wikidata.org/entity/Q45981,Faye Adams,Rhythm and blues,784,60774,What genre is Faye Adams?,"[""rhythm and blues"", ""R&B"", ""RnB"", ""RNB"", ""R and B"", ""R & B""]","['What category does Faye Adams belong to?', 'What kind of classification does Faye Adams fall under?', 'What type does Faye Adams fall under?', 'What group does Faye Adams fall under?', 'What kind does Faye Adams fall under?', 'What class does Faye Adams fall under?', 'What style can Faye Adams be categorized into?', 'Which division does Faye Adams come under?', 'In what bracket does Faye Adams reside?', 'What domain does  Faye Adams fit within?']",61558,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2222222222222222, 0.4, 0.25, 0.5, 0.2, 0.2222222222222222, 0.5, 0.33333333333333337, 0.2222222222222222, 0.2857142857142857]","[0.46605037690082485, 0.41923472505755077, 0.5433595950646918, 0.5479675928184153, 0.17457146719083344, 0.57179598991585, 0.36397007130361186, 0.25717069191704667, 0.48851083652522875, 0.14215515623452038]","[0.086196736, 0.09968699, 0.09291812, 0.05737844, 0.24587566, 0.033205967, 0.010563948, 0.05565384, 0.009308278, 0.55366474]"
2124,Chip,genre,rap,43776,91,2007273,"[""Chipmunk"",""Jahmaal Fyffe"",""Chip Diddy Chip""]","[""emceeing"",""MCing"",""spitting"",""rhyming"",""rap music"",""rapping""]",http://www.wikidata.org/entity/Q1074590,http://www.wikidata.org/entity/Q6010,Chip (rapper),Rapping,8613,52937,What genre is Chip?,"[""rap"", ""emceeing"", ""MCing"", ""spitting"", ""rhyming"", ""rap music"", ""rapping""]","['What category does Chip belong to?', 'What kind of classification does Chip fall under?', 'What type does Chip fall under?', 'What group does Chip fall under?', 'What kind does Chip fall under?', 'What class does Chip fall under?', 'What style can Chip be categorized into?', 'Which division does Chip come under?', 'In what bracket does Chip reside?', 'What domain does  Chip fit within?']",61550,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5]","[0.6533439268713781, 0.1833165864425286, 0.42753208845338075, 0.44687112950415175, 0.5374479811833827, 0.46327246584691156, 0.8177986256098916, 0.2841686808963685, 0.03884590531271235, 0.08246315765878597]","[0.030330587, 0.16982917, 0.06007459, 0.07650718, 0.02915275, 0.0024184356, 0.00054982427, 0.12451947, 0.90598965, 0.8095343]"
1362,Gone,genre,rhythm and blues,833737,91,1350191,[],"[""R&B"",""RnB"",""RNB"",""R and B"",""R & B""]",http://www.wikidata.org/entity/Q2458836,http://www.wikidata.org/entity/Q45981,Gone (Nelly song),Rhythm and blues,771,60774,What genre is Gone?,"[""rhythm and blues"", ""R&B"", ""RnB"", ""RNB"", ""R and B"", ""R & B""]","['What category does Gone belong to?', 'What kind of classification does Gone fall under?', 'What type does Gone fall under?', 'What group does Gone fall under?', 'What kind does Gone fall under?', 'What class does Gone fall under?', 'What style can Gone be categorized into?', 'Which division does Gone come under?', 'In what bracket does Gone reside?', 'What domain does  Gone fit within?']",61545,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1839609990506727, 0.4668726839828573, 0.37238746674644757, 0.3325152726853575, 0.21566792624058273, 0.44593014885196447, 0.5126126965509499, 0.21497230051476032, 0.37277883177816756, 0.3044463599008551]","[0.08118582, 0.03478642, 0.10871244, 0.07329177, 0.25604123, 0.04170833, 0.014862375, 0.28576016, 0.019147437, 0.29620722]"
2328,The Singer,genre,romance film,35760,91,30690,"[""Quand j'\u00e9tais chanteur"",""When I Was a Singer""]","[""romance genre"",""romantic film""]",http://www.wikidata.org/entity/Q1062358,http://www.wikidata.org/entity/Q1054574,When I Was a Singer,Romance film,343,61181,What genre is The Singer?,"[""romance film"", ""romance genre"", ""romantic film""]","['What category does The Singer belong to?', 'What kind of classification does The Singer fall under?', 'What type does The Singer fall under?', 'What group does The Singer fall under?', 'What kind does The Singer fall under?', 'What class does The Singer fall under?', 'What style can The Singer be categorized into?', 'Which division does The Singer come under?', 'In what bracket does The Singer reside?', 'What domain does  The Singer fit within?']",61524,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.02446874024593798, 0.5608642958569491, 0.15774636253865046, 0.0, 0.048346193727007034, 0.3338028272934495, 0.0, 0.0, 0.0]","[1.0, 0.94193953, 0.040620707, 0.31092936, 1.0, 0.88134277, 0.21344154, 1.0, 1.0, 1.0]"
2298,Ca-bau-kan,genre,romance film,1567401,91,30690,[],"[""romance genre"",""romantic film""]",http://www.wikidata.org/entity/Q5015150,http://www.wikidata.org/entity/Q1054574,Ca-bau-kan,Romance film,325,61181,What genre is Ca-bau-kan?,"[""romance film"", ""romance genre"", ""romantic film""]","['What category does Ca-bau-kan belong to?', 'What kind of classification does Ca-bau-kan fall under?', 'What type does Ca-bau-kan fall under?', 'What group does Ca-bau-kan fall under?', 'What kind does Ca-bau-kan fall under?', 'What class does Ca-bau-kan fall under?', 'What style can Ca-bau-kan be categorized into?', 'Which division does Ca-bau-kan come under?', 'In what bracket does Ca-bau-kan reside?', 'What domain does  Ca-bau-kan fit within?']",61506,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.194110424057034, 0.3603579075137737, 0.7244926524163553, 0.2211086844729937, 0.0, 0.040614314622703894, 0.06445735377821177, 0.4074241197188365, 0.0, 0.5001903025302157]","[0.08566593, 0.25086695, 0.0021328917, 0.21054234, 1.0, 0.9014591, 0.83761996, 0.1110048, 1.0, 0.020462006]"
1582,Interval,genre,romance film,2015211,91,30690,[],"[""romance genre"",""romantic film""]",http://www.wikidata.org/entity/Q6057257,http://www.wikidata.org/entity/Q1054574,Interval (film),Romance film,302,61181,What genre is Interval?,"[""romance film"", ""romance genre"", ""romantic film""]","['What category does Interval belong to?', 'What kind of classification does Interval fall under?', 'What type does Interval fall under?', 'What group does Interval fall under?', 'What kind does Interval fall under?', 'What class does Interval fall under?', 'What style can Interval be categorized into?', 'Which division does Interval come under?', 'In what bracket does Interval reside?', 'What domain does  Interval fit within?']",61483,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.04338919675437931, 0.496062366969184, 0.15524208182378052, 0.051522270832984, 0.45367395036383773, 0.08213684341855795, 0.08358587649646682, 0.5631288973289403, 0.21792065729825685]","[1.0, 0.8942983, 0.022341112, 0.6299864, 0.8729262, 0.021921786, 0.7861851, 0.78177536, 0.010838967, 0.4704468]"
2690,So Little Time,genre,romance film,2582890,91,30690,[],"[""romance genre"",""romantic film""]",http://www.wikidata.org/entity/Q7549335,http://www.wikidata.org/entity/Q1054574,So Little Time (film),Romance film,230,61181,What genre is So Little Time?,"[""romance film"", ""romance genre"", ""romantic film""]","['What category does So Little Time belong to?', 'What kind of classification does So Little Time fall under?', 'What type does So Little Time fall under?', 'What group does So Little Time fall under?', 'What kind does So Little Time fall under?', 'What class does So Little Time fall under?', 'What style can So Little Time be categorized into?', 'Which division does So Little Time come under?', 'In what bracket does So Little Time reside?', 'What domain does  So Little Time fit within?']",61411,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,"[0.28571428571428575, 0.25, 0, 0, 0.25, 0.22222222222222224, 0, 0, 0, 1.0]","[0.5985825157802791, 0.2693627035873126, 0.6979622869524146, 0.06470870515747593, 0.26188932402342285, 0.2099644635816684, 0.0493880042726673, 0.2991735482517286, 0.7156162655286189, 0.15366460981252741]","[0.020031113, 0.11828843, 0.022207908, 0.8369162, 0.16528688, 0.13306628, 0.8785922, 0.22195067, 0.0023079263, 0.27099463]"
2190,Empty Hands,genre,romance film,1199375,91,30690,[],"[""romance genre"",""romantic film""]",http://www.wikidata.org/entity/Q3724876,http://www.wikidata.org/entity/Q1054574,Empty Hands,Romance film,200,61181,What genre is Empty Hands?,"[""romance film"", ""romance genre"", ""romantic film""]","['What category does Empty Hands belong to?', 'What kind of classification does Empty Hands fall under?', 'What type does Empty Hands fall under?', 'What group does Empty Hands fall under?', 'What kind does Empty Hands fall under?', 'What class does Empty Hands fall under?', 'What style can Empty Hands be categorized into?', 'Which division does Empty Hands come under?', 'In what bracket does Empty Hands reside?', 'What domain does  Empty Hands fit within?']",61381,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.5, 0.5, 0, 0.5, 0, 0, 0, 0.5, 0]","[0.24022450975747756, 0.060732037622180504, 0.04938804934352916, 0.5075210206492908, 0.02627019645094641, 0.43779290559149764, 0.36328661885895563, 0.30042119317400184, 0.0424479192898036, 0.5300800242516479]","[0.20035633, 0.8479677, 0.8785921, 0.0107684, 0.93751657, 0.050519496, 0.086440854, 0.19294831, 0.89673454, 0.04361778]"
1967,I Know (You Don't Love Me No More),genre,rhythm and blues,1998934,91,1350191,"[""I Know""]","[""R&B"",""RnB"",""RNB"",""R and B"",""R & B""]",http://www.wikidata.org/entity/Q5977816,http://www.wikidata.org/entity/Q45981,I Know (You Don't Love Me No More),Rhythm and blues,567,60774,What genre is I Know (You Don't Love Me No More)?,"[""rhythm and blues"", ""R&B"", ""RnB"", ""RNB"", ""R and B"", ""R & B""]","[""What category does I Know (You Don't Love Me No More) belong to?"", ""What kind of classification does I Know (You Don't Love Me No More) fall under?"", ""What type does I Know (You Don't Love Me No More) fall under?"", ""What group does I Know (You Don't Love Me No More) fall under?"", ""What kind does I Know (You Don't Love Me No More) fall under?"", ""What class does I Know (You Don't Love Me No More) fall under?"", ""What style can I Know (You Don't Love Me No More) be categorized into?"", ""Which division does I Know (You Don't Love Me No More) come under?"", ""In what bracket does I Know (You Don't Love Me No More) reside?"", ""What domain does  I Know (You Don't Love Me No More) fit within?""]",61341,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0, 0, 0.4, 0.5, 0.33333333333333337, 0.2857142857142857, 0, 0, 0.2857142857142857]","[0.33464968646961524, 0.0, 0.5789543949376896, 0.3695039773917609, 0.45892479486252796, 0.23213021346896745, 0.3203136902312006, 0.1550322323914373, 0.14775011375307362, 0.15510653749902156]","[0.17804013, 1.0, 0.04161526, 0.016266894, 0.1986399, 0.13105063, 0.0122087905, 0.46101674, 0.5195213, 0.46025583]"
1818,Brown Sugar,genre,romance film,1548859,91,30690,"[""Sweet but not refined""]","[""romance genre"",""romantic film""]",http://www.wikidata.org/entity/Q4976279,http://www.wikidata.org/entity/Q1054574,Brown Sugar (1922 film),Romance film,124,61181,What genre is Brown Sugar?,"[""romance film"", ""romance genre"", ""romantic film""]","['What category does Brown Sugar belong to?', 'What kind of classification does Brown Sugar fall under?', 'What type does Brown Sugar fall under?', 'What group does Brown Sugar fall under?', 'What kind does Brown Sugar fall under?', 'What class does Brown Sugar fall under?', 'What style can Brown Sugar be categorized into?', 'Which division does Brown Sugar come under?', 'In what bracket does Brown Sugar reside?', 'What domain does  Brown Sugar fit within?']",61305,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.04152294549503339, 0.5237144150028376, 0.6583558752590224, 0.27316496537450985, 0.5051891305827811, 0.4193201870551926, 0.16588105671918835, 0.4199660130079905, 0.4486749518125198, 0.2710795494917197]","[0.89912134, 0.03768702, 0.0580921, 0.049039204, 0.0059115263, 0.049549237, 0.18436733, 0.052597508, 0.0053875647, 0.27000853]"
