Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1624,Second Time Around,genre,sitcom,2549740,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7443601,http://www.wikidata.org/entity/Q170238,Second Time Around (TV series),Sitcom,545,47889,What genre is Second Time Around?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Second Time Around belong to?', 'What kind of classification does Second Time Around fall under?', 'What type does Second Time Around fall under?', 'What group does Second Time Around fall under?', 'What kind does Second Time Around fall under?', 'What class does Second Time Around fall under?', 'What style can Second Time Around be categorized into?', 'Which division does Second Time Around come under?', 'In what bracket does Second Time Around reside?', 'What domain does  Second Time Around fit within?']",48434,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0.4, 0]","[0.26052284336461856, 0.3159172396766081, 0.2995968784977957, 0.44827130047576336, 0.5915234419110044, 0.5418005874698301, 0.42311163469397906, 0.7268287601539821, 0.517426520602439, 0.4520615145832422]","[0.19551255, 0.16972658, 0.07006911, 0.1326337, 0.061475337, 0.08253935, 0.1535504, 0.011743956, 0.05629219, 0.09372938]"
2692,Close to Home,genre,sitcom,1633792,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q5135266,http://www.wikidata.org/entity/Q170238,Close to Home (1989 TV series),Sitcom,437,47889,What genre is Close to Home?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Close to Home belong to?', 'What kind of classification does Close to Home fall under?', 'What type does Close to Home fall under?', 'What group does Close to Home fall under?', 'What kind does Close to Home fall under?', 'What class does Close to Home fall under?', 'What style can Close to Home be categorized into?', 'Which division does Close to Home come under?', 'In what bracket does Close to Home reside?', 'What domain does  Close to Home fit within?']",48326,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5004081993058401, 0.24784598089411344, 0.45870656960212197, 0.4456646608770301, 0.5045349672224788, 0.27021064416348567, 0.28918760036481284, 0.489342409893961, 0.5101886331804404, 0.5881738080983678]","[0.10896164, 0.046425886, 0.04211913, 0.13376476, 0.023215277, 0.39323324, 0.109881006, 0.04876907, 0.003772834, 0.057991467]"
1578,Normal Life,genre,sitcom,2353823,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7051774,http://www.wikidata.org/entity/Q170238,Normal Life (TV series),Sitcom,349,47889,What genre is Normal Life?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Normal Life belong to?', 'What kind of classification does Normal Life fall under?', 'What type does Normal Life fall under?', 'What group does Normal Life fall under?', 'What kind does Normal Life fall under?', 'What class does Normal Life fall under?', 'What style can Normal Life be categorized into?', 'Which division does Normal Life come under?', 'In what bracket does Normal Life reside?', 'What domain does  Normal Life fit within?']",48238,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.22222222222222224]","[0.5067062851367965, 0.46852220316025295, 0.5493166686005039, 0.25057714450093993, 0.2418732792591764, 0.6109584998234392, 0.5055257922296755, 0.6590566157860288, 0.11719777027631338, 0.5688918557300433]","[0.08377197, 0.003300843, 0.019754337, 0.39832297, 0.43526503, 0.003233747, 0.019066976, 0.0008885997, 0.13452499, 0.04000541]"
1317,The Marriage,genre,sitcom,2665428,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7750396,http://www.wikidata.org/entity/Q170238,The Marriage (TV series),Sitcom,265,47889,What genre is The Marriage?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does The Marriage belong to?', 'What kind of classification does The Marriage fall under?', 'What type does The Marriage fall under?', 'What group does The Marriage fall under?', 'What kind does The Marriage fall under?', 'What class does The Marriage fall under?', 'What style can The Marriage be categorized into?', 'Which division does The Marriage come under?', 'In what bracket does The Marriage reside?', 'What domain does  The Marriage fit within?']",48154,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.22222222222222224, 0.2, 0.25, 0.28571428571428575, 0.25, 0.28571428571428575, 0.5, 0.25, 0.5, 0.22222222222222224]","[0.4683698644819564, 0.46681431205638585, 0.43560077265247205, 0.39246016423446284, 0.44746006758055307, 0.4684257992560812, 0.10449073705254251, 0.49081085728889523, 0.13781507504941767, 0.4050152278474842]","[0.049519073, 0.008387202, 0.19756542, 0.07587576, 0.20578021, 0.003247822, 0.10818895, 0.15057378, 0.19274196, 0.059692226]"
1811,Paris,genre,sitcom,2394180,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7137184,http://www.wikidata.org/entity/Q170238,Paris (1994 TV series),Sitcom,249,47889,What genre is Paris?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Paris belong to?', 'What kind of classification does Paris fall under?', 'What type does Paris fall under?', 'What group does Paris fall under?', 'What kind does Paris fall under?', 'What class does Paris fall under?', 'What style can Paris be categorized into?', 'Which division does Paris come under?', 'In what bracket does Paris reside?', 'What domain does  Paris fit within?']",48138,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.25, 0.25, 0.25, 0.3333333333333333, 0.28571428571428575, 0.25, 0, 0, 0]","[0.5671455363096831, 0.4227985407297464, 0.2826950421708523, 0.3242522695896534, 0.3874579620312149, 0.3978568500451416, 0.36876558856465574, 0.46013333472898765, 0.7141940141896587, 0.7580488258567447]","[0.0038771764, 0.24120736, 0.37247476, 0.35402024, 0.010394363, 0.006111533, 0.19207565, 0.10684226, 0.010190101, 0.01836245]"
1845,Chambers,genre,sitcom,1597417,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q5069628,http://www.wikidata.org/entity/Q170238,Chambers (series),Sitcom,246,47889,What genre is Chambers?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Chambers belong to?', 'What kind of classification does Chambers fall under?', 'What type does Chambers fall under?', 'What group does Chambers fall under?', 'What kind does Chambers fall under?', 'What class does Chambers fall under?', 'What style can Chambers be categorized into?', 'Which division does Chambers come under?', 'In what bracket does Chambers reside?', 'What domain does  Chambers fit within?']",48135,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.15437770578668827, 0.15926969990824758, 0.13312490233983665, 0.46554562571023694, 0.28469449009679376, 0.15433025823086524, 0.5102504222225549, 0.48399994903543386, 0.5759694373398924, 0.49638261097896136]","[0.46749413, 0.3973148, 0.1770509, 0.107493766, 0.41347834, 0.27616978, 0.041269526, 0.12372941, 0.054068305, 0.07855264]"
1478,Shaping Up,genre,sitcom,2560444,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7489273,http://www.wikidata.org/entity/Q170238,Shaping Up,Sitcom,239,47889,What genre is Shaping Up?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Shaping Up belong to?', 'What kind of classification does Shaping Up fall under?', 'What type does Shaping Up fall under?', 'What group does Shaping Up fall under?', 'What kind does Shaping Up fall under?', 'What class does Shaping Up fall under?', 'What style can Shaping Up be categorized into?', 'Which division does Shaping Up come under?', 'In what bracket does Shaping Up reside?', 'What domain does  Shaping Up fit within?']",48128,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5492805801907636, 0.5757344538832462, 0.34573482142704015, 0.6867938903354203, 0.6860805136711056, 0.4180398325635531, 0.4360260993941046, 0.4815051075902884, 0.43049571612067283, 0.42017921857516616]","[0.11131143, 0.022857364, 0.12805894, 0.0043850634, 0.0088159125, 0.01949189, 0.14960502, 0.16934437, 0.05896928, 0.18881358]"
1325,Never Better,genre,sitcom,2340464,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7003923,http://www.wikidata.org/entity/Q170238,Never Better,Sitcom,234,47889,What genre is Never Better?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does Never Better belong to?', 'What kind of classification does Never Better fall under?', 'What type does Never Better fall under?', 'What group does Never Better fall under?', 'What kind does Never Better fall under?', 'What class does Never Better fall under?', 'What style can Never Better be categorized into?', 'Which division does Never Better come under?', 'In what bracket does Never Better reside?', 'What domain does  Never Better fit within?']",48123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0.25, 0, 0]","[0.5591434604414712, 0.5255248224660773, 0.5438772983915079, 0.3860890049660047, 0.45120930582857477, 0.5183624708771098, 0.46663381588506675, 0.5648613616699922, 0.5528394794713299, 0.5142884549502182]","[0.008753495, 0.005205441, 0.04260446, 0.048677985, 0.010606816, 0.054227117, 0.13582945, 0.093045674, 0.10441094, 0.10691827]"
1494,Tsjuder,genre,black metal,704449,91,172721,[],"[""Black Metal""]",http://www.wikidata.org/entity/Q2004066,http://www.wikidata.org/entity/Q132438,Tsjuder,Black metal,1075,47046,What genre is Tsjuder?,"[""black metal"", ""Black Metal""]","['What category does Tsjuder belong to?', 'What kind of classification does Tsjuder fall under?', 'What type does Tsjuder fall under?', 'What group does Tsjuder fall under?', 'What kind does Tsjuder fall under?', 'What class does Tsjuder fall under?', 'What style can Tsjuder be categorized into?', 'Which division does Tsjuder come under?', 'In what bracket does Tsjuder reside?', 'What domain does  Tsjuder fit within?']",48121,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2510,The Great Outdoors,genre,sitcom,2659954,91,509702,[],"[""situational comedy"",""situation comedy""]",http://www.wikidata.org/entity/Q7737880,http://www.wikidata.org/entity/Q170238,The Great Outdoors (British TV series),Sitcom,199,47889,What genre is The Great Outdoors?,"[""sitcom"", ""situational comedy"", ""situation comedy""]","['What category does The Great Outdoors belong to?', 'What kind of classification does The Great Outdoors fall under?', 'What type does The Great Outdoors fall under?', 'What group does The Great Outdoors fall under?', 'What kind does The Great Outdoors fall under?', 'What class does The Great Outdoors fall under?', 'What style can The Great Outdoors be categorized into?', 'Which division does The Great Outdoors come under?', 'In what bracket does The Great Outdoors reside?', 'What domain does  The Great Outdoors fit within?']",48088,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0.5, 0.5, 0, 0.5, 0.5, 0.28571428571428575, 0, 0.5, 0]","[0.09097538261983425, 0.09854322857754312, 0.10312992526317415, 0.396612663337225, 0.14403857123041108, 0.08358597406222944, 0.5050561643535214, 0.4442721206210981, 0.06319959656234672, 0.45600355967501505]","[0.7587491, 0.73411953, 0.7185944, 0.044668064, 0.54279363, 0.78177506, 0.114072196, 0.037223432, 0.8411308, 0.0017838294]"
