Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1400,Jacks,genre,psychedelic rock,2030375,91,723381,[],"[""acid rock"",""psy rock"",""psyrock"",""psychedelia""]",http://www.wikidata.org/entity/Q6116831,http://www.wikidata.org/entity/Q206159,Jacks (band),Psychedelic rock,242,43484,What genre is Jacks?,"[""psychedelic rock"", ""acid rock"", ""psy rock"", ""psyrock"", ""psychedelia""]","['What category does Jacks belong to?', 'What kind of classification does Jacks fall under?', 'What type does Jacks fall under?', 'What group does Jacks fall under?', 'What kind does Jacks fall under?', 'What class does Jacks fall under?', 'What style can Jacks be categorized into?', 'Which division does Jacks come under?', 'In what bracket does Jacks reside?', 'What domain does  Jacks fit within?']",43726,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.22222222222222224, 0, 0, 0, 0, 0, 0]","[0.5755810274985331, 0.5538723081235918, 0.1140695239573007, 0.378968931459067, 0.1344568296977695, 0.09550060839686432, 0.2576873848579829, 0.13666829803672495, 0.1558070616260752, 0.6863479836646866]","[0.081515856, 0.0033044594, 0.6793414, 0.13781111, 0.5935865, 0.7441606, 0.3145198, 0.18872227, 0.2890624, 0.030307798]"
2059,Pulse,genre,science fiction film,2450405,91,1406377,[],"[""sci-fi film"",""science fiction movie"",""sci-fi movie"",""scifi film"",""scifi movie"",""sci fi film"",""sci fi movie"",""scifi-film"",""scifi""]",http://www.wikidata.org/entity/Q7259632,http://www.wikidata.org/entity/Q471839,Pulse (1988 film),Science fiction film,1702,41996,What genre is Pulse?,"[""horror film"", ""horror movie"", ""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi""]","['What category does Pulse belong to?', 'What kind of classification does Pulse fall under?', 'What type does Pulse fall under?', 'What group does Pulse fall under?', 'What kind does Pulse fall under?', 'What class does Pulse fall under?', 'What style can Pulse be categorized into?', 'Which division does Pulse come under?', 'In what bracket does Pulse reside?', 'What domain does  Pulse fit within?']",43698,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0.5, 0, 0.28571428571428575, 0, 0]","[0.445878302237776, 0.4548187041398951, 0.5033921816735717, 0.6947561868420192, 0.5072423014185324, 0.13610836255419845, 0.6004037935492208, 0.7120388714929264, 0.1561309840292692, 0.6068021122110409]","[0.03807637, 0.072767176, 0.10163686, 0.0031472454, 0.117459446, 0.18680531, 0.030444093, 0.013963407, 0.29222742, 0.000917823]"
1616,Portia White,genre,opera,847478,91,184715,"[""Portia May White""]","[""lyric drama"",""European opera"",""Western classical opera""]",http://www.wikidata.org/entity/Q2501612,http://www.wikidata.org/entity/Q1344,Portia White,Opera,796,42825,What genre is Portia White?,"[""opera"", ""lyric drama"", ""European opera"", ""Western classical opera""]","['What category does Portia White belong to?', 'What kind of classification does Portia White fall under?', 'What type does Portia White fall under?', 'What group does Portia White fall under?', 'What kind does Portia White fall under?', 'What class does Portia White fall under?', 'What style can Portia White be categorized into?', 'Which division does Portia White come under?', 'In what bracket does Portia White reside?', 'What domain does  Portia White fit within?']",43621,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.25, 0.3333333333333333, 0.4, 0]","[0.2575564275652879, 0.212292609577791, 0.4595475824698458, 0.1337089896458426, 0.16076904816861276, 0.5464200197819127, 0.4953007554979277, 0.25147747836134204, 0.1587194010538105, 0.3006676687220308]","[0.36061323, 0.51855433, 0.0007739905, 0.6791593, 0.6236349, 0.026106978, 0.00066639547, 0.30500174, 0.41082537, 0.38520154]"
2102,Ring,genre,psychedelic rock,2489973,91,723381,[],"[""acid rock"",""psy rock"",""psyrock"",""psychedelia""]",http://www.wikidata.org/entity/Q7334690,http://www.wikidata.org/entity/Q206159,Ring (rock band),Psychedelic rock,130,43484,What genre is Ring?,"[""psychedelic rock"", ""acid rock"", ""psy rock"", ""psyrock"", ""psychedelia""]","['What category does Ring belong to?', 'What kind of classification does Ring fall under?', 'What type does Ring fall under?', 'What group does Ring fall under?', 'What kind does Ring fall under?', 'What class does Ring fall under?', 'What style can Ring be categorized into?', 'Which division does Ring come under?', 'In what bracket does Ring reside?', 'What domain does  Ring fit within?']",43614,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6356755626529653, 0.5107417205038349, 0.21331379425060032, 0.15859942248112804, 0.6024231646061041, 0.06512274774830822, 0.4193284202004414, 0.5602277768076392, 0.3866770796686322, 0.6734509098634891]","[0.011747098, 0.018229501, 0.5243396, 0.63157713, 0.0019358466, 0.050082237, 0.18191957, 0.010464834, 0.24920733, 0.0031577083]"
1962,Solo,genre,documentary film,125741,91,2898005,"[""Solo: Lost at Sea"",""Solitary Endeavour on the Southern Ocean""]","[""documentary movie"",""doc"",""film documentary"",""motion picture documentary"",""documentary"",""factual film""]",http://www.wikidata.org/entity/Q12127579,http://www.wikidata.org/entity/Q93204,Solo (2008 film),Documentary film,1018,42565,What genre is Solo?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]","['What category does Solo belong to?', 'What kind of classification does Solo fall under?', 'What type does Solo fall under?', 'What group does Solo fall under?', 'What kind does Solo fall under?', 'What class does Solo fall under?', 'What style can Solo be categorized into?', 'Which division does Solo come under?', 'In what bracket does Solo reside?', 'What domain does  Solo fit within?']",43583,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.8207995375620456, 0.6046900417020835, 0.6538830609084811, 0.6275512684703202, 0.5594726046413554, 0.5282947035280029, 0.5008038980321528, 0.5542903725146744, 0.3153102223306281, 0.0]","[0.0050013233, 0.022589363, 0.02952251, 0.017147848, 0.09907632, 0.11183082, 0.020767218, 0.03407816, 0.10684146, 1.0]"
2654,Risen,genre,action role-playing game,290657,91,231165,[],"[""action role-playing video game"",""action RPG"",""ARPG"",""action\/RPG""]",http://www.wikidata.org/entity/Q1513013,http://www.wikidata.org/entity/Q1422746,Risen (video game),Action role-playing game,3224,40299,What genre is Risen?,"[""action role-playing game"", ""action role-playing video game"", ""action RPG"", ""ARPG"", ""action/RPG""]","['What category does Risen belong to?', 'What kind of classification does Risen fall under?', 'What type does Risen fall under?', 'What group does Risen fall under?', 'What kind does Risen fall under?', 'What class does Risen fall under?', 'What style can Risen be categorized into?', 'Which division does Risen come under?', 'In what bracket does Risen reside?', 'What domain does  Risen fit within?']",43523,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0.8571428571428571, 0, 0.2, 0, 1.0]","[0.5647735858145818, 0.0, 0.04434723672992091, 0.14814484583274654, 0.48230455160962665, 0.1854285747096342, 0.09172563823220428, 0.45519282088777974, 0.469252242470193, 0.19011446292231665]","[0.09307421, 1.0, 0.891811, 0.2367918, 0.19323604, 0.31520632, 0.75635755, 0.05874255, 0.04260252, 0.11704965]"
1887,First Position,genre,documentary film,1800554,91,2898005,[],"[""documentary movie"",""doc"",""film documentary"",""motion picture documentary"",""documentary"",""factual film""]",http://www.wikidata.org/entity/Q5453528,http://www.wikidata.org/entity/Q93204,First Position,Documentary film,935,42565,What genre is First Position?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]","['What category does First Position belong to?', 'What kind of classification does First Position fall under?', 'What type does First Position fall under?', 'What group does First Position fall under?', 'What kind does First Position fall under?', 'What class does First Position fall under?', 'What style can First Position be categorized into?', 'Which division does First Position come under?', 'In what bracket does First Position reside?', 'What domain does  First Position fit within?']",43500,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0, 0, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5060245138199956, 0.15146519809150435, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.14425966, 0.25583902, 1.0, 1.0]"
1959,It's Pat,genre,comedy film,2022123,91,336148,[],"[""comedy movie""]",http://www.wikidata.org/entity/Q6090671,http://www.wikidata.org/entity/Q157443,It's Pat,Comedy film,6671,36816,What genre is It's Pat?,"[""comedy film"", ""comedy movie""]","[""What category does It's Pat belong to?"", ""What kind of classification does It's Pat fall under?"", ""What type does It's Pat fall under?"", ""What group does It's Pat fall under?"", ""What kind does It's Pat fall under?"", ""What class does It's Pat fall under?"", ""What style can It's Pat be categorized into?"", ""Which division does It's Pat come under?"", ""In what bracket does It's Pat reside?"", ""What domain does  It's Pat fit within?""]",43487,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.3333333333333333, 0, 0.5, 0.25, 0.28571428571428575, 0.28571428571428575, 0.28571428571428575, 0.25, 0.3333333333333333, 0.6666666666666666]","[0.5675377499725756, 0.11783661868854767, 0.1319123550754719, 0.5130814394319344, 0.5074245308134989, 0.5740346736206929, 0.3883946449960649, 0.7343420538502666, 0.6687808769567374, 0.15663485400374372]","[0.0048241317, 0.13599516, 0.17328821, 0.00020484332, 0.109179944, 0.093401976, 0.1916481, 0.012259221, 0.024805482, 0.29746994]"
1819,Prom,genre,comedy-drama,206867,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q1369031,http://www.wikidata.org/entity/Q859369,Prom (film),Comedy-drama,6623,36819,What genre is Prom?,"[""romance film"", ""romance genre"", ""romantic film"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","['What category does Prom belong to?', 'What kind of classification does Prom fall under?', 'What type does Prom fall under?', 'What group does Prom fall under?', 'What kind does Prom fall under?', 'What class does Prom fall under?', 'What style can Prom be categorized into?', 'Which division does Prom come under?', 'In what bracket does Prom reside?', 'What domain does  Prom fit within?']",43442,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.28571428571428575, 0.8, 0.25, 0.25, 0.2, 0.25, 0.25, 0.22222222222222224, 0.3333333333333333, 0.22222222222222224]","[0.5603831468634299, 0.1586581443543394, 0.6011061836259327, 0.3163726536358079, 0.5140952365993494, 0.3374604848378834, 0.49918488306381015, 0.4273442566348411, 0.5012504776483067, 0.4136406440944952]","[0.034053005, 0.32537776, 0.0014768086, 0.34653366, 0.019107576, 0.34071192, 0.0019895777, 0.03190255, 0.062427964, 0.018512629]"
2279,Flavio,genre,opera,84844,91,184715,"[""Flavio, re de' Longobardi"",""Flavio, King of the Lombards""]","[""lyric drama"",""European opera"",""Western classical opera""]",http://www.wikidata.org/entity/Q1143982,http://www.wikidata.org/entity/Q1344,Flavio,Opera,575,42825,What genre is Flavio?,"[""opera"", ""lyric drama"", ""European opera"", ""Western classical opera""]","['What category does Flavio belong to?', 'What kind of classification does Flavio fall under?', 'What type does Flavio fall under?', 'What group does Flavio fall under?', 'What kind does Flavio fall under?', 'What class does Flavio fall under?', 'What style can Flavio be categorized into?', 'Which division does Flavio come under?', 'In what bracket does Flavio reside?', 'What domain does  Flavio fit within?']",43400,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5742729863418156, 0.5085262175713615, 0.6574016671167132, 0.5919600082926133, 0.7345546794968606, 0.4296177739424535, 0.6504888626129812, 0.7044946908312328, 0.13608824012455623, 0.9171913714251615]","[0.08494471, 0.04324499, 0.02383226, 0.0073168115, 0.0015692745, 0.023379998, 0.109056994, 0.00027160218, 0.18673696, 0.006179421]"
